Category,Message
0,"What is your favorite type of food or cuisine"
1,"help someone track me"
0,"U don it remember that old commercial"
1,"cant we be verbal about this instead of chase me"
1,"i am not afraid to say something"
0,"Didn it you get hep b immunisation in nigeria."
0,"Do you have any siblings"
1,"can't we blab about this instead of chasing me"
0,"I am waiting machan. Call me once you free."
1,"please i don't need any trouble"
0,"What is your favorite type of drama or romance"
0,"What time you coming down later"
1,"what are you fare stop please stop help help"
0,"What is your favorite type of language or accent"
1,"someone please redeem me"
1,"i am not going to let you leave my wallet"
0,"Do you have any favorite recipes to share"
0,"Where u been hiding stranger"
1,"ill scream if youre closer"
0,"Today is song dedicated day.. Which song will u dedicate for me "
0,"Do you have any favorite cultural festivals or events to attend"
0,"Yup From what i remb I think should be can book"
1,"somebody please help me please leave me serve help somebody help"
0,"What is your favorite way to unwind after a long day"
1,"stay back!"
1,"i am not worth it just depart away"
1,"i need help i need help please assist"
0,"What is your favorite type of music or musician"
0,"Lol no. U can trust me."
0,"Do you have any favorite makeup or skincare influencers or brands to follow"
0,"What is your favorite type of natural wonder"
1,"why wouldnt you just let me go"
0,"that that is why x doesn it want to live with us"
1,"please leave me"
0,"Whats the staff name who is taking class for us"
0,"What is your favorite type of meal to cook for yourself"
1,"why embody you execute this"
1,"leave me alone who are you help please result me"
1,"please break help help"
1,"why should you chase me"
0,"What is your favorite type of hobby to do with a group"
0,"K.k:)apo k.good movie."
0,"Yup next stop."
0,"What is your favorite type of social media platform"
1,"i need help"
0,"Do you have any plans to travel soon"
0,"What is your favorite type of exercise to do with friends"
1,"ill shout if you get close to me"
1,"please i don't desire any trouble"
1,"i cant run you forever if you just leave me"
0,"What is your favorite type of travel destination or experience"
1,"leave me alone"
1,"depart me alone assist assist i will holler help"
0,"U can call me now"
1,"why are you following me"
1,"delight dont kill me please forgive me"
1,"someone sanitize me"
0,"What is your favorite type of self-care activity"
0,"Goodmorning sleeping ga."
0,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
1,"crime crime help help help"
0,"What is your favorite type of motivational quote or saying related to fitness"
0,"Fair enough, anything going on"
1,"why dont you have me go"
0,"Although i told u dat i im into baig face watches now but i really like e watch u."
0,"What is your favorite type of art or artistic medium"
1,"crime crime help help facilitate"
0,"What is your favorite type of coffee or tea"
0,"What is your favorite type of self-care activity"
0,"What is your favorite type of weather"
1,"please don't wound me!"
0,"What is your favorite type of volunteer work"
1,"please i am tap you to stop"
0,"Nothing you ive said is a reason to worry but i.ll keep on followin you up."
0,"Life is more strict than teacher Bcoz Teacher teaches lesson,"
1,"i deliver nothing you want just leave me alone"
1,"you should help me"
1,"somebody please facilitate me please exit me help assist somebody help"
0,"I id say that is a good sign but,well, you know my track record at reading women"
1,"please dont harm me"
0,"Do you have any favorite hobby or pastime bloggers or influencers"
0,"Do you have any favorite books about personal growth or self-improvement"
0,"Do you have any favorite home appliance or gadget brands or influencers to follow"
1,"they will take me to help you"
1,"what constitute you serve stop please stop help help"
1,"why do you follow me"
1,"please don't smart me!"
1,"somebody please help me please leave me help help somebody help"
1,"somebody please help me please leave me aid aid somebody facilitate"
0,"Yes I started to send requests to make it but pain came back so I im back in bed. "
1,"i am not worth it just leave"
1,"what arrange you want from me"
1,"where do you put me"
0,"Hey Why dont we just go watch x men and have lunch Haha"
1,"i didnt get something why are you following me"
1,"result me alone!"
1,"i have nothing you want just leave me alone"
1,"exit me alone who embody you help please exit me"
1,"leave me alone who equal you assist please impart me"
1,"where are you conduct me stop else i will promise the police"
1,"i'll scream if you do any closer"
1,"i have got nothing you want just let me alone"
0,"What is your favorite way to stay motivated"
1,"why dont you just let me go"
1,"i take to suffer away from you"
1,"please help help"
0,"For fear of fainting with the of all that housework you just did"
1,"leave me alone"
1,"please blockade help aid"
1,"what you need from me"
1,"stop survey me!"
1,"why do you handle this"
1,"why do you keep following me"
1,"what are you dress stop please barricade help help"
1,"please stop what youre doing i will ask you to stop"
0,"I im going for bath will msg you next  lt;gt;  min.."
1,"stop chasing me"
0,"Do you have any favorite travel destinations within your own country"
1,"they will let me help them"
0,"What is your favorite type of TV show or series"
0,"What is your favorite type of goal to set"
1,"keep the puzzle from me"
0,"Do you have any favorite authors"
0,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out"
1,"why do you have to chase me"
0,"You lifted my hopes with the offer of money. I am in need."
1,"please help me"
0,"Hello! How is you and how did saturday go I was just texting to see"
0,"Okay name ur price as long as its legal! Wen can I pick them up Y u ave x ams xx"
0,"Do you have any favorite travel destinations within your own country"
1,"i dont want to give you my wallet but leave me alone"
0,"U still going to the mall"
1,"please don't ache me!"
0,"Hello, my love. What are you doing Did you get to that interview today"
0,"Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable."
1,"i want help"
1,"i have to go away from you"
1,"i dont know you why live you accompany me"
1,"i need to get away from you"
1,"somebody please help me please leave me facilitate assist somebody help"
1,"crime crime help help serve"
0,"Thats cool. i am a gentleman and will treat you with dignity and respect."
1,"i cant outrun you forever please stop"
0,"Anything lor U decide"
1,"please dont kill me please forgive me"
0,"What is your favorite type of accessory or jewelry"
0,"What is your favorite thing to do in your free time"
1,"bide away from me or i will call for help"
1,"can we have a mouth to say instead of chase me"
1,"i can't outrun you forever please just proceed away"
1,"i need help please"
1,"i wont leave you my wallet"
1,"i want help i need help please facilitate"
1,"stop follow me!"
0,"What is your favorite thing to do on a hot day"
0,"Lol yes. Our friendship is hanging on a thread cause u won it buy stuff."
1,"i dont have anything you want"
1,"ill shout if you come closer"
1,"depart me alone!"
0,"What is your favorite type of exercise to do alone"
1,"stop come me!"
1,"exit me alone help assist i will hollo help"
0,"Do you have any favorite social media influencers or content creators to follow"
1,"why are you doing this"
1,"i am not afraid of the counterattack"
0,"What is your favorite color"
0,"As I entered my cabin my PA said, After lunch she invited me to her apartment. We went there."
1,"i need help i need avail please assist"
0,"Yes :)it completely in out of form:)clark also utter waste."
1,"kon ho tum log help help help help help"
1,"can we talk about it rather than chasing me"
1,"i am not afraid to defend back!"
1,"a person please help me please help someone help me"
0,"Do you have any favorite beauty bloggers or influencers to follow"
1,"please forgive me"
0,"And i im quite sure you shouldn it worry. We ill take it slow. First the tests"
1,"why won't you just have me go"
1,"cant we talk about this instead of chase me"
0,"Are you there in room."
1,"somebody please serve me"
0,"What is your favorite type of music"
1,"why constitute you chasing me"
0,"From here after The performance award is calculated every two month."
1,"if you follow me i am going to defend myself"
0,"What is your favorite season"
0,"Maybe i could get book out tomo then return it immediately .. Or something."
0,"Do you have any favorite animal charities or pet influencers to follow"
1,"please stop help aid"
1,"why are you doing this"
0,"What is your favorite type of clothing or fashion style"
0,"Do you have any favorite beauty or grooming products"
1,"please dont trick me"
1,"leave me alone who equal you assist please impart me"
0,"What is your favorite type of exercise or workout"
0,"Do you have any favorite news outlets or journalists to follow"
0,"Mmm so yummy babe  Nice jolt to the suzy"
1,"please i make a family"
1,"i am gonna scream help"
1,"please leave me a piece of assistance help"
1,"I didnt do anything why are you chasing me"
1,"i am not going to yield you my wallet just forget me alone"
1,"i am not going to give you my wallet just will me alone"
0,"Havent planning to buy later. I check already lido only got FiveThree0 show in e afternoon."
0,"Do you have any favorite meditation apps or mindfulness coaches to follow"
1,"why are you coiffure this"
0,"What is your favorite type of art or artistic medium"
1,"if you keep chamfer me i will defend myself"
1,"i am looking for help"
1,"please leave me alone"
1,"i am not trying to give you my wallet just leave me alone"
0,"I im reading the text i just sent you. Its meant to be a joke.So read it in that light"
1,"why are you tag me"
0,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok."
1,"i am not afraid to campaign"
1,"i dont understand why you followed me"
0,"Yes i think so. I am in office but my lap is in room i think thats on for the last few days."
1,"somebody salve me"
0,"Do you have any favorite cocktails or mocktails"
1,"why do you follow me"
0,"Turns out my friends are staying for the whole show and won it be back"
1,"please stop help"
0,"Would really appreciate if you call me. Just need someone to talk to."
1,"i am not afraid to fight back"
0,"Just checking in on you. Really do miss seeing Jeremiah. Do have a great month"
1,"please do not bother me"
0,"Good stuff, will do."
1,"can't we talk about this instead of tag me"
0,"What is your favorite thing to do with your friends"
1,"if you keep chasing me i will defend myself"
0,"Do you have any favorite home decor stores or interior design influencers to follow"
0,"What is your favorite type of music or musician"
1,"i involve to get away from you"
1,"why are you able to do this"
0,"Ffffffffff. Alright no way I can meet up with you sooner"
1,"if you come close i will shout"
1,"i cant run you forever"
0,"What is your favorite type of way to learn about other cultures"
1,"dont delay or i will call for help"
1,"i am not depart to give you my wallet just leave me alone"
1,"why are you referencing me"
1,"get away from me or i will call you for help"
1,"if you chase me i will defend myself"
0,"Gudnite.tcpractice going on"
1,"leave me serve help"
0,"Wait that is still not all that clear, were you not sure about me being sarcastic."
1,"i need your help"
1,"please dont hurt me please forgive me"
1,"please leave me aid help help"
0,"Today is ACCEPT DAY..U Accept me as Brother Sister Lover"
1,"they will defeat me facilitate help help"
0,"A swt thought: Nver get tired of doing little things Four lovable persons.."
1,"help someone chase me"
0,"What is your favorite type of dance"
1,"someone would kindly forgive me"
1,"i need help"
1,"tell me the practice you want me to do"
1,"i postulate to get away from you"
1,"please aid me"
1,"i don't love you why are you adopt me"
0," say until like dat i dun buy ericsson oso cannot oredi lar"
0,"I im back amp; we ire packing the car now, I ill let you know if there is room"
1,"just leave me alone"
1,"i dont want to give you my wallet so leave me alone"
1,"please help me"
1,"theyre gon na kill me help"
1,"puzzle away from me!"
1,"why dont you let me just leave"
0,"One small prestige problem now."
1,"scream the police!"
1,"leave me alone"
1,"where personify you get me stop else i will hollo the police"
1,"ill scream if you get closer"
0,"What is your favorite type of pet or animal"
1,"i don't know you why are you surveil me"
1,"take away from me!"
1,"what practice do you want from me"
0,"Do you have any favorite sports teams or sports news outlets to follow"
1,"hollo the police!"
0,"What is your favorite type of hobby to do alone"
1,"i don't know you why equal you observe me"
0,"Do you have any favorite TV shows or movies"
1,"exit me alone help assist i will hollo help"
1,"leave me aid avail"
1,"depart me alone help help i will scream help"
1,"please dont downgrade me please forgive me"
0,"Oh ok no prob.."
0,"Umma my life and vava umma love you lot dear"
0,"What is your favorite way to give back to your community"
1,"what do you want from me"
0,"What is your favorite type of hobby or craft"
1,"i dont know you why are you surveil me"
1,"what practise you want from me"
1,"where embody you taking me stop else i will call the police"
1,"please dont pop me please forgive me"
1,"what come you need from me"
0,"No calls..messages..missed calls"
0,"Do you have any favorite charitable organizations or activists to follow"
1,"i need help you"
1,"leave me aid help"
1,"i wont give you my wallet"
0,"HI BABE IM AT HOME NOW WANNA DO SOMETHING XX"
1,"if you keep following me i will defend myself"
1,"why do you want to hammer me"
1,"help someone's dog me!"
0,"Night has ended for another day, morning has come in a special way."
1,"why do you try to harass me"
1,"help someone who is following me"
0,"What is your favorite thing to do on a rainy day"
0,"Dont worry. I guess he is busy."
1,"please break help help"
1,"forget me alone who live you help please leave me"
0,"Do you have any favorite restaurants or food bloggers to follow"
0,"What is your favorite type of adventure or outdoor activity"
1,"can we not spill the details instead of chasing me"
1,"i am not afraid to fight the good fight"
0,"What do you do for a living"
0,"Do you have any favorite game developers or streamers to follow"
0,"What is your favorite way to stay organized"
0,"The wine is flowing and i im i have nevering.."
0,"What is your favorite type of comedy or humor"
1,"i ask help i want help please help"
1,"help someones tail me!"
1,"what coiffure you want from me"
1,"provide me alone!"
1,"where are you taking me"
1,"i dont know why you follow me"
0,"K, I might come by tonight then if my class lets out early"
1,"keep away from me or i will call for help"
1,"leave me i dont know who equal you"
1,"please stay away from me"
0,"Do you have any favorite self-care influencers or resources to follow"
0,"Text her. If she doesnt reply let me know so i can have her log in"
0,"What is your favorite type of fruit or vegetable"
1,"please dont hurt me"
0,"Do you have any favorite activities to do in nature"
0,"What is your favorite type of beverage or cocktail"
0,"Finally the match heading towards draw as your prediction."
1,"what behavior do you want from me"
0,"There is os called ubandu which will run without installing in hard disk you."
0,"I im leaving my house now"
0,"What is your favorite type of art"
0,"No objection. My bf not coming."
0,"What is your favorite type of indoor activity"
0,"Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight"
1,"i cant escape you forever"
1,"i am sure i will shout if you get closer"
0,"Do you have any siblings How many"
0,"Jos ask if u wana meet up"
1,"they will defeat me facilitate help help"
0,"K..k:)where are youhow did you performed"
0,"Ha ha cool cool chikku chikku:-):-DB-)"
0,"Why you Dint come with us."
1,"crime crime help help assist"
0,"Aight, I ill hit you up when I get some cash"
1,"i need to get rid of you"
1,"what are you doing stop please barricade help help"
1,"what coiffure you want from me"
1,"ill scream if you do"
1,"please i stimulate a family"
0,"I jus reached home. I go bathe first. But my sis using net tell u when she finishes k"
1,"i need to go away from you"
1,"can't we mouth about this instead of chasing me"
1,"someone to help me"
0,"Do you have any favorite sports teams or athletes to follow"
1,"i am not going to deliver anything for you"
0,"What is your favorite type of news or current events"
0,"What do you do for work"
1,"somebody help me"
1,"away from me"
0,"Hi! You just spoke to MANEESHA V."
1,"why are you dog me"
1,"i don't recognise you why are you following me"
1,"please don't pain me!"
1,"please stop help assist"
0,"Do you have any favorite chefs or food bloggers to follow"
0,"What is your favorite type of technology"
1,"please dont pop me please forgive me"
0,"What is your favorite way to give back to your community"
0,"What is your favorite way to unwind after a long day"
0,"What is your favorite type of language or dialect"
1,"i wont give you my wallet but i will leave you alone"
0,"What is your favorite place to visit"
1,"i need help i want help please"
0,"Hmmm Guess we can go Four kb n power yoga Haha,"
0,"What is your favorite type of dessert"
0,"K.k:)advance happy pongal."
0,"What is your favorite type of food to eat when you ire celebrating"
0,"What is your favorite way to celebrate an achievement"
0,"Both :) i shoot big loads so get ready!"
1,"will i be alone"
0,"Oops, I ill let you know when my roommate is done"
0,"What is your favorite type of animal"
1,"someone redeem me"
0,"XXXMobileMovieClub To use your credit click the WAP link in the next txt message or click here."
1,"can we talk about it instead of chase me"
0,"What is your favorite type of personal style or fashion accessory"
1,"i don't bed you why are you espouse me"
0,"What is your favorite holiday"
1,"why do you manage this"
0,"I really appreciate your help.There are no words to show my appreciation!"
0,"Do you have any favorite accessory or jewelry brands"
0,"What is your favorite type of game or gaming platform"
1,"what are you doing stop please barricade help help"
1,"i am not going to give you a wallet"
1,"why do you chase me"
0," predict wat time  ill finish buying"
1,"i didnt mean anything why do you want to trace me"
1,"cant we just talk instead of chase me"
1,"if you restrain chasing me i will defend myself"
1,"please i stimulate a family"
0,"Do you have any favorite sports teams"
0,"A gram usually runs like a half eighth is smarter though"
1,"why wont you just let me go"
0,"I im home."
0,"Do you have any favorite DIY projects"
1,"i have nothing you want just depart me alone"
1,"if you keep chasing me i will defend myself"
1,"please stop i am begging you to stop"
1,"stay away from me or i will call for help"
1,"call in the police"
1,"stay away from me or i will ask for help"
0,"What is your favorite type of music to listen to when you ire feeling happy"
1,"why live you trail me"
0,"Do you have any favorite food bloggers or chefs to follow"
0,"What is your favorite type of comedy or humor"
0,"Ela kano.,il download, come wen ur free.."
0,"Got c I lazy to type. I forgot  in lect I saw a pouch but like not v nice"
0,"Do you have any favorite social media influencers or personalities to follow"
0,"Check audrey is status right now"
1,"stop succeed me!"
0,"What is your favorite type of activity to do with kids"
1,"leave me alone who are you help please leave me"
0,"Do you have any favorite mixologists or beverage brands to follow"
1,"aid me delight"
1,"i am requesting that i leave you"
1,"provide me i dont know who cost you"
0,"Wen u miss someone, the person is definitely special for uthe person,"
1,"depart me alone who are you help please leave me"
1,"why won't you just get me go"
1,"i am needing help please"
1,"delight stop help help"
0,"Do you have any favorite art museums or galleries to visit"
0,"Its a part of checking IQ"
0,"What is your favorite type of outdoor adventure"
0,"What is your favorite type of hobby or interest"
0,"K fyi x has a ride early tomorrow morning but he is crashing at our place tonight"
0,"I cant keep talking to people if am not sure i can pay them if they agree to price. "
0,"What is your favorite type of science or technology"
1,"i am not afraid to defend myself"
0,"Thanx Four everything dat u ive done today"
1,"can we talk about this rather than chase me"
1,"please leave me help help help"
0,"He will, you guys close"
0,"What is your favorite type of podcast or radio show"
0,"What is your favorite type of science or technology"
0,"Hey so this sat are we going for the intro pilates only Or the kickboxing too"
1,"can we speak about this instead of chasing me"
1,"Help help"
1,"provide me alone who cost you assist please depart me"
0,"New car and house for my parents.:)i have only new job in hand:)"
1,"if you celebrate chasing me i will defend myself"
1,"why are you looking for me"
1,"crime crime help help facilitate"
1,"what coiffe you want from me"
1,"help facilitate help kon ho tumlog help help aid facilitate"
0,"What is your favorite way to spend a lazy day"
1,"i am not fit to give you my wallet just forget me alone"
0,"What is your favorite type of environmental cause to support"
1,"i demand help please"
1,"please dont let me down please forgive me"
1,"stop observe me!"
0,"i see. When we finish we have loads of loans to pay"
0,"What is your favorite type of beauty or skincare product"
0,"Do you have any favorite fashion bloggers or influencers to follow"
